QuestionID,Category,Subtopic,QuestionPrompt,Problem,WhyUnsafeToAutoFix,RecommendedManualReview,AuditedAt
cmstwd59w008v04l5niuxt05l,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A frontline government office experiences a sudden 200% influx of citizens requesting birth certificate authentication due to an upcoming passport renewal deadline, causing severe queue congestion and citizen frustration.

Proposed Courses of Action:
I. Deploy additional cross-trained administrative staff from non-peak back-office divisions to open temporary express service counters.
II. Suspend all birth certificate authentication processing for two weeks until crowd numbers return to normal.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.526Z
cmstwd59w008w04l5h98l85t8,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A public vocational school observes that graduates struggle to secure employment because their technical equipment training is outdated compared to current industry standards.

Proposed Courses of Action:
I. Update curriculum frameworks and partner with local industry leaders to upgrade laboratory machinery and training facilities.
II. Guarantee employment for all graduates by creating administrative positions within the vocational school.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.557Z
cmstwd59w008x04l5bklgdtgx,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: An urban city experiences frequent street light failures along a major boulevard due to copper wire theft from underground conduits.

Proposed Courses of Action:
I. Replace copper wiring with theft-resistant aluminum alloy wiring and secure conduit access covers with tamper-proof locks.
II. Turn off all street lights permanently along the boulevard to prevent future wire theft.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.589Z
cmstwd59w008y04l5in2pfag9,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A municipal agricultural office notes that local vegetable farmers suffer heavy income losses due to post-harvest decay during transport to distant urban markets.

Proposed Courses of Action:
I. Establish local cold-storage collection hubs and facilitate direct market linkages with local grocery buyers.
II. Instruct farmers to stop harvesting vegetables during warm weather months.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.620Z
cmstwd59w008z04l571790ddi,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A government agency finds that frontline service counters are frequently left unattended during lunch hours, causing long wait times for citizens.

Proposed Courses of Action:
I. Implement a staggered lunch break schedule for frontline personnel to ensure continuous service counter coverage throughout the day.
II. Close the office completely during lunch hours and lock the main gates.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.651Z
cmstwd59w009004l5tlnvgdv3,"Analytical Reasoning","Course of Action - Practical Administrative Solutions","Problem: A public high school reports an increasing number of students dropping out due to long daily walking distances from remote mountain barangays.

Proposed Courses of Action:
I. Coordinate with the local government unit to provide subsidized student shuttle transportation and modular learning options for far-flung pupils.
II. Lower the academic passing grade for students who live far away from the school campus.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:08.682Z
cmstwdq0t00k704l5cwgfjles,"Verbal Ability","Paragraph Organization - Coherence & Structural Flow","A. First, local authorities issued storm surge warnings to coastal communities early in the morning.
B. By mid-afternoon, rescue teams deployed boats to evacuate stranded residents from flooded lowlands.
C. Subsequently, emergency management teams established evacuation centers in high-ground schools.
D. Finally, late that evening, the relief agency distributed hot meals and emergency medical kits to evacuees.

Choose the most logical sequence of the sentences above.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:16.470Z
cmstwjl0x007104l2i7gqrf7o,"Numerical Reasoning","Algebra - Equations, Polynomials & Expressions","What is the solution set for the inequality: 5 - 3x ≤ 17 ?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:56.803Z
cmstwjl0w006004l228t05od7,"Numerical Reasoning","Geometry - Geometric Theorems, Shapes & Solids","A linear highway segment on a survey map connects Town X at (-6, 8) and Town Y at (4, -2). A new emergency response post is to be placed at the exact midpoint of this highway segment. What are the coordinates of the emergency post?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:57.407Z
cmstwjl0w006f04l21t9vli2e,"Numerical Reasoning","Algebra - Equations, Polynomials & Expressions","Simplify the algebraic expression: 4(3x - 5y) - 3(2x - 7y)","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:57.973Z
cmstwjl0w006g04l2hhk4e3qu,"Numerical Reasoning","Algebra - Equations, Polynomials & Expressions","Simplify the expression: (12x⁴ y³) / (3x² y) + 5x² y²","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:57.997Z
cmstwjl0x006t04l2qcvpkp8l,"Numerical Reasoning","Algebra - Equations, Polynomials & Expressions","The total surface area S of a closed right circular cylinder is given by the formula S = 2πr² + 2πrh, where r is the base radius and h is the height. Solve for the height h in terms of S, r, and π.","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:58.453Z
cmstwjl0x006u04l2sycsx4s8,"Numerical Reasoning","Algebra - Equations, Polynomials & Expressions","The formula for calculating the total future amount in a simple interest account is A = P(1 + rt), where P is principal, r is annual interest rate, and t is time in years. Which formula correctly expresses the principal P in terms of A, r, and t?","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:58.492Z
cmstwjl0x007004l2drkqv6r4,"Numerical Reasoning","Algebra - Equations, Polynomials & Expressions","Solve the inequality: 2(4 - x) > 3x - 7","Question contains duplicate or identical option choices.","Distractor duplication requires pedagogical adjustment of distractors.","Replace duplicated choice with a valid plausible distractor.",2026-08-19T09:29:58.691Z
